ogrenci_id,yas,egitim_durumu,kurs_turu,kurs_suresi_hafta,kayitli_oldugu_hafta_sayisi,haftalik_ders_saati,toplam_ders_saati,devamsizlik_saati,devamsizlik_orani,ust_uste_devamsizlik_sayisi,toplam_ucret,odenen_tutar,kalan_borc,taksit_sayisi,son_odeme_gecikme_gun_sayisi,odeme_yontemi,son_giristen_beri_gun_sayisi,son_30_gun_giris_sayisi,son_30_gun_ai_etkilesim_sayisi,tamamlanan_odev_orani,memnuniyet_skoru,is_churn
28,29,Çalışan,Siber Güvenlik,24,13,8,104,22,0.2115,2,24000,17227,6773,2,40,Kredi Kartı,5,15,2,0.17346183553889136,4.1,1
29,43,Üniversite,Siber Güvenlik,24,22,8,176,52,0.2955,0,12000,6491,5509,2,16,Kredi Kartı,31,16,2,0.29730599707782585,1.9,1
30,39,Çalışan,Siber Güvenlik,24,20,8,160,36,0.225,1,24000,13037,10963,12,31,Havale,2,16,2,0.7001300142772451,3.2,0
31,29,Mezun,Yapay Zeka,24,7,8,56,13,0.2321,2,36000,34422,1578,6,4,Havale,9,10,3,0.8933782265545012,2.1,0
32,42,Lise,Yapay Zeka,24,16,8,128,33,0.2578,0,18000,8503,9497,9,8,Kredi Kartı,4,10,7,0.21855178850543577,3.2,0
33,34,Lise,Veri Bilimi,24,7,8,56,17,0.3036,0,12000,7351,4649,3,42,Elden,23,17,4,0.6918880945213509,4.1,0
34,44,Üniversite,Siber Güvenlik,24,22,8,176,69,0.392,5,24000,13639,10361,6,33,Kredi Kartı,19,10,2,0.8695355329085045,2.9,1
35,44,Çalışan,Yapay Zeka,24,16,8,128,0,0.0,0,24000,18361,5639,3,44,Havale,36,15,2,0.5810151079872795,2.6,1
36,27,Üniversite,Veri Bilimi,24,13,8,104,34,0.3269,4,24000,24000,0,9,0,Elden,30,13,2,0.6374988049382543,4.5,0
37,33,Üniversite,Veri Bilimi,24,17,8,136,0,0.0,0,36000,21695,14305,2,39,Havale,46,9,4,0.8747791572225089,4.2,1
38,32,Üniversite,Siber Güvenlik,24,9,8,72,25,0.3472,0,30000,8688,21312,3,14,Kredi Kartı,16,13,7,0.7417702251351963,3.8,0
39,32,Lise,Web Geliştirme,24,12,6,72,20,0.2778,0,30000,20296,9704,2,31,Kredi Kartı,48,14,0,0.6769337735563864,2.0,1
40,36,Üniversite,Siber Güvenlik,24,13,8,104,21,0.2019,0,24000,9762,14238,9,33,Elden,23,13,4,0.5211789426304061,4.0,1
41,29,Lise,Web Geliştirme,24,9,6,54,12,0.2222,4,18000,12856,5144,6,34,Kredi Kartı,17,8,2,0.5443443375307266,4.5,0
42,40,Çalışan,Veri Bilimi,24,5,8,40,10,0.25,3,24000,11028,12972,3,27,Havale,25,16,5,0.7641777990726599,3.2,0
43,37,Üniversite,Yapay Zeka,24,7,8,56,23,0.4107,2,36000,24867,11133,3,16,Elden,41,8,5,0.63044193418038,2.1,1
44,42,Üniversite,İngilizce,16,1,4,4,2,0.5,4,36000,12657,23343,12,45,Elden,54,8,5,0.49010164781433513,3.6,1
45,20,Üniversite,Veri Bilimi,24,4,8,32,12,0.375,2,24000,14005,9995,9,10,Kredi Kartı,6,8,9,0.44128229779358724,4.6,0
46,22,Üniversite,Yapay Zeka,24,4,8,32,0,0.0,0,18000,7231,10769,6,22,Havale,42,10,6,0.2082705308658373,4.0,0
47,36,Çalışan,Veri Bilimi,24,16,8,128,41,0.3203,0,18000,17339,661,3,25,Elden,13,13,4,0.5453002749553811,3.3,0
48,24,Mezun,Siber Güvenlik,24,5,8,40,0,0.0,0,12000,5627,6373,2,45,Kredi Kartı,40,15,6,0.6968904763967869,3.9,0
49,38,Lise,Web Geliştirme,24,22,6,132,0,0.0,0,36000,28389,7611,12,4,Kredi Kartı,48,14,5,0.9706653755805699,4.7,0
50,26,Mezun,Veri Bilimi,24,4,8,32,14,0.4375,1,18000,12505,5495,3,25,Kredi Kartı,1,10,4,0.8887286737569035,3.2,0
51,24,Üniversite,Yapay Zeka,24,6,8,48,0,0.0,0,24000,16793,7207,3,5,Kredi Kartı,29,9,6,0.6178333052563245,4.3,0
52,35,Lise,Siber Güvenlik,24,23,8,184,35,0.1902,0,36000,26757,9243,6,42,Elden,48,11,4,0.590828140833127,3.5,0
53,21,Çalışan,İngilizce,16,3,4,12,6,0.5,2,12000,9608,2392,12,33,Havale,16,18,6,0.563544918242377,4.4,1
54,42,Çalışan,Siber Güvenlik,24,8,8,64,21,0.3281,1,24000,23437,563,3,41,Elden,58,12,8,0.3427365651893584,3.6,1
55,31,Çalışan,Web Geliştirme,24,17,6,102,29,0.2843,6,12000,10600,1400,6,12,Havale,19,12,8,0.4118361520431163,2.8,1
56,35,Üniversite,Siber Güvenlik,24,18,8,144,30,0.2083,3,24000,24000,0,9,24,Havale,55,8,5,0.6036252473590195,1.5,1
57,43,Mezun,İngilizce,16,2,4,8,2,0.25,5,12000,4607,7393,3,1,Havale,9,7,3,0.6562590170073823,3.2,0
58,26,Üniversite,Yapay Zeka,24,12,8,96,10,0.1042,1,24000,7551,16449,3,13,Kredi Kartı,23,9,4,0.6109605374604473,3.7,0
59,43,Üniversite,Veri Bilimi,24,1,8,8,1,0.125,0,30000,30000,0,12,16,Elden,43,6,1,0.44482721230968425,4.4,0
60,38,Çalışan,Web Geliştirme,24,23,6,138,33,0.2391,1,30000,23718,6282,12,40,Kredi Kartı,11,7,3,0.5888297172729692,2.4,0
61,19,Üniversite,İngilizce,16,15,4,60,16,0.2667,0,24000,9215,14785,9,39,Havale,26,11,5,0.4861688847309969,3.0,0
62,37,Çalışan,Web Geliştirme,24,12,6,72,14,0.1944,1,36000,20884,15116,6,39,Kredi Kartı,14,10,1,0.9695962792020458,2.5,0
63,32,Mezun,Siber Güvenlik,24,11,8,88,0,0.0,0,18000,14116,3884,3,38,Elden,8,11,4,0.8664774430119035,2.2,0
64,24,Üniversite,Web Geliştirme,24,13,6,78,39,0.5,1,36000,22976,13024,12,24,Elden,17,16,4,0.6590006241758284,4.7,0
65,29,Mezun,İngilizce,16,3,4,12,5,0.4167,5,18000,14455,3545,3,26,Kredi Kartı,47,1,5,0.9560859616778762,3.8,1
66,25,Mezun,Veri Bilimi,24,8,8,64,12,0.1875,0,24000,8552,15448,9,23,Havale,60,15,9,0.787937802195528,5.0,1
67,32,Üniversite,Veri Bilimi,24,3,8,24,9,0.375,6,12000,7709,4291,12,32,Havale,6,9,6,0.7375927762777871,3.0,1
68,20,Çalışan,Web Geliştirme,24,17,6,102,16,0.1569,0,12000,8152,3848,6,26,Kredi Kartı,27,9,8,0.7151114414191413,4.3,0
69,31,Mezun,Yapay Zeka,24,13,8,104,29,0.2788,0,36000,17039,18961,9,44,Kredi Kartı,45,9,6,0.35804202887652514,2.5,1
70,34,Üniversite,Web Geliştirme,24,10,6,60,0,0.0,0,18000,10425,7575,9,30,Havale,35,12,9,0.7978635877064348,4.7,0
71,21,Mezun,Siber Güvenlik,24,17,8,136,36,0.2647,3,18000,9615,8385,2,37,Kredi Kartı,2,13,4,0.9021056727259392,2.7,0
72,35,Çalışan,Veri Bilimi,24,3,8,24,4,0.1667,3,24000,8943,15057,6,14,Kredi Kartı,43,12,8,0.8226568736457671,3.2,1
73,25,Üniversite,Veri Bilimi,24,13,8,104,27,0.2596,2,18000,8921,9079,2,43,Kredi Kartı,15,17,5,0.7204709468608442,3.6,0
74,21,Çalışan,Veri Bilimi,24,22,8,176,93,0.5284,0,36000,25118,10882,6,39,Kredi Kartı,35,8,2,0.7812888245556862,4.2,0
75,19,Üniversite,Yapay Zeka,24,6,8,48,10,0.2083,0,36000,14629,21371,2,0,Kredi Kartı,3,6,5,0.8233040441109019,4.3,0
76,23,Çalışan,Yapay Zeka,24,14,8,112,15,0.1339,0,18000,8663,9337,3,10,Kredi Kartı,34,7,11,0.8884925783263954,4.3,0
77,39,Mezun,İngilizce,16,11,4,44,6,0.1364,1,12000,2691,9309,9,14,Kredi Kartı,8,15,8,0.8081192580492366,4.2,0
78,27,Üniversite,Web Geliştirme,24,10,6,60,0,0.0,0,18000,18000,0,12,32,Kredi Kartı,55,9,8,1.0,4.2,0
79,21,Üniversite,Web Geliştirme,24,20,6,120,35,0.2917,4,24000,21156,2844,3,31,Havale,45,13,6,0.5901111454574307,3.5,0
80,39,Çalışan,Siber Güvenlik,24,16,8,128,40,0.3125,0,18000,17121,879,6,24,Elden,11,12,3,0.6443268815822869,4.3,1
81,35,Üniversite,Veri Bilimi,24,18,8,144,33,0.2292,2,24000,17766,6234,6,38,Kredi Kartı,9,9,1,0.8765812168341471,3.3,1
82,43,Mezun,Yapay Zeka,24,13,8,104,40,0.3846,2,30000,21708,8292,12,32,Elden,45,10,6,0.817847255294907,3.4,1
83,29,Lise,Siber Güvenlik,24,10,8,80,31,0.3875,0,24000,14333,9667,6,28,Kredi Kartı,43,4,6,0.7872490701139676,3.5,0
84,19,Çalışan,Siber Güvenlik,24,6,8,48,11,0.2292,1,18000,17551,449,6,33,Havale,43,11,7,0.9558771745584252,2.9,1
85,27,Mezun,Yapay Zeka,24,10,8,80,26,0.325,1,24000,15741,8259,12,7,Kredi Kartı,1,15,4,0.40024154253425664,4.2,0
86,21,Çalışan,Web Geliştirme,24,5,6,30,18,0.6,2,30000,4797,25203,3,10,Havale,18,13,8,0.7938008222644672,4.4,0
87,31,Lise,Veri Bilimi,24,6,8,48,3,0.0625,0,24000,4002,19998,12,12,Havale,12,8,9,0.583079353803936,3.8,0
88,33,Mezun,Web Geliştirme,24,7,6,42,15,0.3571,5,18000,13335,4665,12,4,Kredi Kartı,41,13,5,0.8544241303389223,2.4,1
89,32,Mezun,Siber Güvenlik,24,11,8,88,21,0.2386,1,24000,9842,14158,12,18,Kredi Kartı,54,10,5,0.5829808060428072,4.7,0
90,25,Üniversite,Veri Bilimi,24,16,8,128,52,0.4062,0,24000,16184,7816,3,20,Elden,52,6,8,0.9039205601079582,3.3,0
91,31,Üniversite,İngilizce,16,9,4,36,3,0.0833,1,18000,15114,2886,3,2,Kredi Kartı,32,15,2,0.9621973890865224,4.2,0
92,40,Lise,Siber Güvenlik,24,12,8,96,25,0.2604,3,48000,21245,26755,9,25,Kredi Kartı,0,6,5,0.5494474129411961,4.2,0
93,42,Mezun,Web Geliştirme,24,12,6,72,7,0.0972,2,30000,17253,12747,3,32,Kredi Kartı,27,8,5,0.43727476784844277,4.9,1
94,25,Mezun,Web Geliştirme,24,23,6,138,0,0.0,0,30000,17525,12475,6,29,Kredi Kartı,39,11,3,0.781524807498649,3.8,0
95,38,Lise,Web Geliştirme,24,20,6,120,57,0.475,0,36000,15600,20400,2,21,Kredi Kartı,5,16,5,0.9755801844138061,3.9,0
96,33,Mezun,Yapay Zeka,24,5,8,40,6,0.15,1,30000,8781,21219,2,4,Kredi Kartı,51,9,4,1.0,5.0,0
97,30,Üniversite,Siber Güvenlik,24,16,8,128,9,0.0703,1,30000,11306,18694,3,18,Kredi Kartı,2,8,7,1.0,3.2,0
98,35,Lise,Veri Bilimi,24,6,8,48,6,0.125,0,24000,6638,17362,6,8,Kredi Kartı,44,13,4,0.4909228122182993,4.9,0
99,32,Çalışan,Web Geliştirme,24,9,6,54,30,0.5556,2,24000,14533,9467,3,23,Havale,24,13,5,0.6271072231619602,4.2,0
100,38,Çalışan,Web Geliştirme,24,5,6,30,14,0.4667,1,12000,7226,4774,6,38,Havale,56,13,2,0.5415532364118701,4.9,0
101,41,Mezun,Yapay Zeka,24,21,8,168,30,0.1786,1,18000,9329,8671,6,11,Elden,43,7,3,0.6664136431543338,2.3,0
102,43,Lise,Veri Bilimi,24,23,8,184,69,0.375,0,24000,7079,16921,6,45,Elden,51,12,5,0.7445842152172132,3.0,1
103,42,Çalışan,Siber Güvenlik,24,16,8,128,3,0.0234,1,30000,27790,2210,6,44,Elden,15,7,7,0.8960557447092238,2.9,0
104,30,Üniversite,İngilizce,16,2,4,8,3,0.375,3,24000,11864,12136,3,26,Havale,42,8,6,0.8300448741525164,2.6,0
105,26,Üniversite,Yapay Zeka,24,19,8,152,22,0.1447,3,30000,30000,0,3,41,Havale,55,8,6,0.9719530149263573,4.5,0
106,32,Üniversite,Siber Güvenlik,24,12,8,96,29,0.3021,3,30000,25988,4012,2,20,Kredi Kartı,3,8,4,0.6203768515425365,3.7,0
107,30,Mezun,İngilizce,16,2,4,8,0,0.0,0,12000,1613,10387,6,37,Havale,7,6,8,1.0,2.3,0
108,18,Mezun,Web Geliştirme,24,10,6,60,7,0.1167,0,18000,17254,746,6,34,Kredi Kartı,38,7,3,0.6918849296891125,2.2,1
109,42,Üniversite,Web Geliştirme,24,12,6,72,18,0.25,3,18000,8538,9462,6,31,Elden,15,9,6,0.7820729893421613,3.6,0
110,24,Mezun,Veri Bilimi,24,14,8,112,28,0.25,0,18000,7528,10472,3,35,Kredi Kartı,43,9,4,1.0,3.9,0
111,26,Çalışan,İngilizce,16,2,4,8,0,0.0,0,24000,13967,10033,6,32,Havale,37,10,5,0.28745827215507985,2.2,1
112,41,Üniversite,Web Geliştirme,24,19,6,114,5,0.0439,3,30000,28003,1997,2,42,Kredi Kartı,22,13,3,0.7146485660980081,3.1,0
113,18,Mezun,Web Geliştirme,24,6,6,36,11,0.3056,2,18000,14055,3945,12,16,Kredi Kartı,5,10,7,0.3156451570804707,5.0,1
114,29,Çalışan,Veri Bilimi,24,5,8,40,11,0.275,0,36000,25042,10958,2,4,Kredi Kartı,42,5,7,0.38553153674171714,4.0,0
115,25,Üniversite,Siber Güvenlik,24,16,8,128,43,0.3359,6,36000,16003,19997,12,43,Kredi Kartı,43,9,10,0.7127686460230638,2.8,1
116,41,Üniversite,Web Geliştirme,24,14,6,84,21,0.25,3,24000,21258,2742,6,19,Kredi Kartı,15,3,9,0.4896048761829566,4.1,1
117,28,Mezun,Yapay Zeka,24,13,8,104,3,0.0288,3,30000,12119,17881,3,22,Kredi Kartı,53,7,4,0.7965220195346941,3.5,0
118,36,Mezun,Yapay Zeka,24,21,8,168,26,0.1548,0,12000,10928,1072,3,38,Kredi Kartı,15,7,4,0.7165287176676782,3.1,0
119,34,Çalışan,Siber Güvenlik,24,2,8,16,5,0.3125,1,30000,21998,8002,2,3,Kredi Kartı,22,10,10,0.5412698418805968,3.1,0
120,25,Üniversite,İngilizce,16,2,4,8,0,0.0,0,18000,9019,8981,3,25,Elden,15,8,6,0.3572258613698998,2.9,0
121,20,Çalışan,Veri Bilimi,24,12,8,96,2,0.0208,1,30000,30000,0,2,29,Kredi Kartı,35,6,4,0.9528484938549803,4.0,0
122,20,Lise,Yapay Zeka,24,1,8,8,1,0.125,2,24000,21072,2928,6,45,Kredi Kartı,11,11,8,0.7371541649834467,3.7,0
123,18,Lise,Yapay Zeka,24,19,8,152,41,0.2697,4,36000,28427,7573,3,28,Elden,36,14,4,0.5131031826254054,3.2,1
124,44,Mezun,Siber Güvenlik,24,16,8,128,0,0.0,0,24000,16220,7780,9,33,Havale,8,17,9,0.5297434949249497,4.3,1
125,22,Üniversite,İngilizce,16,14,4,56,10,0.1786,2,12000,4368,7632,3,9,Kredi Kartı,17,8,2,0.46247475632597074,4.0,0
126,27,Üniversite,İngilizce,16,7,4,28,9,0.3214,0,24000,15826,8174,12,19,Kredi Kartı,8,12,7,0.7203884381642514,2.8,0
127,24,Üniversite,Siber Güvenlik,24,21,8,168,59,0.3512,1,30000,30000,0,6,23,Havale,47,9,2,0.8721312831195315,3.5,0
128,43,Üniversite,Yapay Zeka,24,7,8,56,2,0.0357,5,30000,9168,20832,2,33,Kredi Kartı,20,11,8,0.7939761032642954,4.0,0
129,26,Lise,Veri Bilimi,24,16,8,128,37,0.2891,3,48000,38007,9993,3,36,Kredi Kartı,57,14,8,0.9684480773600604,4.2,0
130,24,Çalışan,Yapay Zeka,24,6,8,48,19,0.3958,1,36000,35948,52,3,12,Havale,0,13,2,0.7647950286950054,2.8,0
131,26,Üniversite,İngilizce,16,2,4,8,3,0.375,0,24000,24000,0,2,22,Kredi Kartı,58,9,5,1.0,2.8,0
132,25,Mezun,Yapay Zeka,24,1,8,8,1,0.125,1,18000,7649,10351,6,9,Elden,22,6,6,0.6884757047915399,3.1,0
133,29,Çalışan,Veri Bilimi,24,1,8,8,0,0.0,0,12000,6165,5835,6,21,Kredi Kartı,4,9,4,0.2878660843213121,4.6,0
134,19,Çalışan,Web Geliştirme,24,14,6,84,22,0.2619,1,48000,32411,15589,12,44,Havale,18,6,5,0.4150853549825975,3.2,1
135,18,Lise,Yapay Zeka,24,6,8,48,24,0.5,0,36000,27484,8516,6,13,Havale,34,14,4,0.6219432596818866,2.6,0
136,33,Çalışan,Siber Güvenlik,24,6,8,48,18,0.375,3,18000,17467,533,12,24,Kredi Kartı,32,11,1,0.6286776440487767,4.5,1
137,40,Mezun,Web Geliştirme,24,4,6,24,9,0.375,0,30000,17991,12009,12,17,Elden,54,8,2,0.5442074719301858,2.5,1
138,40,Mezun,Siber Güvenlik,24,12,8,96,24,0.25,0,30000,26592,3408,9,19,Elden,45,9,3,0.8155689200711013,3.3,0
139,41,Mezun,Siber Güvenlik,24,18,8,144,55,0.3819,2,24000,216,23784,6,27,Kredi Kartı,17,12,6,0.9427167133123832,2.4,0
140,22,Çalışan,Siber Güvenlik,24,10,8,80,22,0.275,4,36000,21006,14994,2,7,Elden,39,8,4,0.20239385261980972,4.0,1
141,20,Üniversite,Yapay Zeka,24,3,8,24,0,0.0,0,12000,10634,1366,3,4,Kredi Kartı,13,12,6,0.8624276929901039,3.6,0
142,29,Mezun,İngilizce,16,3,4,12,5,0.4167,3,36000,30901,5099,6,20,Elden,19,7,10,0.5848719201325062,4.0,1
143,25,Mezun,Web Geliştirme,24,8,6,48,3,0.0625,0,24000,9850,14150,3,19,Kredi Kartı,51,9,6,0.32397999710414815,3.0,0
144,39,Çalışan,Veri Bilimi,24,22,8,176,41,0.233,0,24000,21759,2241,2,43,Kredi Kartı,12,8,7,0.4094984268837236,5.0,0
145,44,Çalışan,İngilizce,16,7,4,28,10,0.3571,4,24000,7078,16922,6,15,Kredi Kartı,58,11,7,0.5849724159877868,3.4,1
146,20,Üniversite,Yapay Zeka,24,1,8,8,1,0.125,4,24000,22778,1222,2,19,Kredi Kartı,52,7,10,0.5678864180760284,4.3,0
147,18,Çalışan,Siber Güvenlik,24,18,8,144,6,0.0417,2,24000,14373,9627,6,24,Kredi Kartı,15,10,6,0.49016108400743896,3.5,1
148,20,Lise,Veri Bilimi,24,15,8,120,37,0.3083,1,30000,16115,13885,2,6,Elden,40,10,6,0.40931588657392326,3.3,1
149,22,Lise,Web Geliştirme,24,21,6,126,2,0.0159,0,24000,13811,10189,6,24,Elden,30,14,7,1.0,3.9,0
150,32,Lise,İngilizce,16,4,4,16,3,0.1875,4,30000,22342,7658,9,35,Kredi Kartı,38,12,5,0.7132452366114672,5.0,1
151,31,Üniversite,İngilizce,16,1,4,4,2,0.5,0,18000,18000,0,2,9,Kredi Kartı,34,9,10,0.8284001208123757,3.9,0
152,20,Mezun,Veri Bilimi,24,11,8,88,45,0.5114,2,36000,34362,1638,6,39,Elden,19,11,5,0.9153393771383557,3.1,0
153,18,Lise,Yapay Zeka,24,13,8,104,0,0.0,0,12000,4358,7642,9,15,Kredi Kartı,56,13,6,0.5811555159694698,4.5,0
154,22,Lise,Web Geliştirme,24,20,6,120,22,0.1833,2,24000,9352,14648,3,3,Kredi Kartı,0,11,2,0.6469947622665889,2.0,0
155,43,Çalışan,Veri Bilimi,24,10,8,80,36,0.45,0,12000,2082,9918,2,9,Kredi Kartı,55,9,7,0.734537781277989,5.0,1
156,40,Çalışan,Siber Güvenlik,24,13,8,104,15,0.1442,0,24000,17453,6547,3,30,Kredi Kartı,39,17,5,0.4578820622213463,4.1,0
157,31,Çalışan,Web Geliştirme,24,17,6,102,37,0.3627,0,18000,10937,7063,6,11,Kredi Kartı,45,6,6,0.4645665377987989,2.9,1
158,24,Çalışan,İngilizce,16,15,4,60,23,0.3833,2,36000,29046,6954,6,19,Havale,12,11,3,1.0,3.0,0
159,44,Mezun,Veri Bilimi,24,21,8,168,18,0.1071,1,12000,6297,5703,2,31,Havale,6,13,5,1.0,3.9,0
160,26,Lise,İngilizce,16,1,4,4,1,0.25,0,24000,13221,10779,6,1,Kredi Kartı,44,7,5,0.3564913747133645,2.1,0
161,32,Üniversite,İngilizce,16,4,4,16,5,0.3125,0,30000,8609,21391,3,10,Elden,21,8,12,0.8193228102897561,4.7,1
162,32,Mezun,İngilizce,16,16,4,64,25,0.3906,0,18000,16665,1335,9,19,Havale,6,7,8,0.8154240329872067,4.6,0
163,43,Üniversite,Yapay Zeka,24,16,8,128,0,0.0,0,36000,17982,18018,3,22,Kredi Kartı,57,10,5,0.7550705394199659,4.3,0
164,27,Mezun,İngilizce,16,12,4,48,22,0.4583,3,36000,15879,20121,9,12,Kredi Kartı,19,5,1,0.5058267825612277,3.3,0
165,30,Lise,Siber Güvenlik,24,21,8,168,58,0.3452,1,30000,26749,3251,3,34,Kredi Kartı,51,6,4,0.4797194794071089,5.0,1
166,36,Üniversite,Siber Güvenlik,24,3,8,24,0,0.0,0,18000,5059,12941,6,16,Kredi Kartı,36,15,6,0.9805327942454757,2.9,0
167,24,Mezun,Web Geliştirme,24,2,6,12,2,0.1667,2,18000,14173,3827,6,9,Kredi Kartı,35,8,5,1.0,3.2,0
168,34,Mezun,İngilizce,16,6,4,24,9,0.375,3,18000,8243,9757,6,39,Kredi Kartı,3,15,7,0.687937784900892,2.5,1
169,37,Mezun,İngilizce,16,11,4,44,1,0.0227,2,18000,11178,6822,3,37,Kredi Kartı,56,6,2,0.3933723070704606,3.8,0
170,21,Mezun,Veri Bilimi,24,3,8,24,1,0.0417,3,12000,1995,10005,9,13,Havale,5,15,8,0.6520820200000388,3.2,0
171,22,Lise,Yapay Zeka,24,1,8,8,2,0.25,0,36000,28597,7403,3,18,Havale,45,13,6,0.5910223569350402,4.0,0
172,40,Lise,Web Geliştirme,24,11,6,66,9,0.1364,2,24000,24000,0,6,31,Kredi Kartı,2,16,3,0.5232496045542245,5.0,0
173,24,Çalışan,İngilizce,16,13,4,52,14,0.2692,3,18000,6016,11984,6,32,Havale,2,4,3,0.6430178163207405,4.5,0
174,30,Mezun,Veri Bilimi,24,5,8,40,15,0.375,0,18000,16897,1103,9,42,Elden,57,8,5,0.8814608422400696,3.3,1
175,32,Lise,Yapay Zeka,24,18,8,144,39,0.2708,0,24000,15316,8684,6,24,Havale,55,14,4,0.8874691571119272,3.6,0
176,28,Çalışan,Web Geliştirme,24,15,6,90,20,0.2222,0,18000,14105,3895,3,24,Kredi Kartı,2,6,5,0.7504335159320381,3.2,0
177,21,Üniversite,Web Geliştirme,24,18,6,108,40,0.3704,0,36000,12779,23221,6,13,Kredi Kartı,35,5,3,0.7821429740393205,4.4,1
178,30,Üniversite,İngilizce,16,15,4,60,12,0.2,0,18000,7055,10945,6,44,Elden,53,7,5,0.7507294668206004,2.7,0
179,24,Lise,Web Geliştirme,24,20,6,120,10,0.0833,2,36000,24187,11813,12,43,Kredi Kartı,8,5,3,0.557126629661205,5.0,0
180,44,Mezun,Veri Bilimi,24,20,8,160,68,0.425,0,30000,17876,12124,9,37,Kredi Kartı,53,7,6,0.981737396096286,4.0,0
